requirement,component,risk,test_or_scenario,environment,evidence,status
API GET /api/google,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/health,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/intake/preview,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/integrations/config/{key}/jobs,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/integrations/config/{key},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API PUT /api/integrations/config/{key},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/integrations/config/{key}/sync,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/integrations/config/{key}/test,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API POST /api/integrations/config/{key}/upload,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/integrations/config/{key}/validate-mapping,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/integrations/config,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/integrations/jobs/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/integrations/review/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/integrations/review,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/integrations,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/integrations/sync,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API PATCH /api/intelligence/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/intelligence/bids/import,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/intelligence/bids,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/intelligence/bids,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/intelligence/import,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/intelligence,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/intelligence,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/metrics,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/notifications/preferences,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API PATCH /api/notifications/preferences,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/notifications,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/notifications,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/observability/export,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/pricing-policies/{id}/activate,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/pricing-policies,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/pricing-policies,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/pricing/import,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/pricing/template,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/proposals/{id}/audit,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/proposals/{id}/conversion,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/proposals/{id}/drift,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/proposals/{id}/export,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/lines/{lineId}/recommend,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API PATCH /api/proposals/{id}/lines/{lineId},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/proposals/{id}/logistics,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API PATCH /api/proposals/{id}/logistics,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/logistics,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/outcome,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/push-crm,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/refresh-context,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/reopen,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/proposals/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API DELETE /api/proposals/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/scenarios/{sid}/apply,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/proposals/{id}/scenarios/{sid},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API PATCH /api/proposals/{id}/scenarios/{sid},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API DELETE /api/proposals/{id}/scenarios/{sid},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/proposals/{id}/scenarios,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/scenarios,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/submit,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API POST /api/proposals/{id}/version,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/proposals,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/proposals,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/purchases/import,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/requests/{id}/bulk,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/requests/{id}/cancel,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/requests/{id}/export,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/requests/{id}/lines/{lineId}/compare,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API PATCH /api/requests/{id}/lines/{lineId},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/requests/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API DELETE /api/requests/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/requests/{id}/run,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API POST /api/requests/{id}/sheets,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/requests,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/requests,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/settings/branding,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API PUT /api/settings/branding,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/settings,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/settings,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/system,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API POST /api/system,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API POST /api/webhooks/salesforce,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
Page /accounts/[id],page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /accounts,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /analytics,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /approvals,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
